year,model,price,mileage,color,transmission
2010,SES,16995,40539,Black,AUTO
2010,SEL,15889,24920,Black,AUTO
2010,SE,15499,7784,Black,AUTO
2010,SE,15499,35636,Black,AUTO
2009,SE,14995,34419,Black,MANUAL
2011,SE,14992,4867,Black,AUTO
2011,SEL,14992,18948,Black,AUTO
2010,SEL,14990,33036,Black,AUTO
2010,SES,14761,44813,Black,AUTO
2010,SES,14677,22143,Black,MANUAL
2010,SE,14495,38275,Black,AUTO
2010,SE,14299,36447,Black,AUTO
2010,SES,14275,35318,Black,AUTO
2010,SE,13997,15167,Black,MANUAL
2010,SE,13995,20278,Black,MANUAL
2009,SES,13995,46126,Black,AUTO
2009,SES,13992,26887,Black,AUTO
2009,SE,13950,9450,Black,AUTO
2010,SE,13950,31414,Black,AUTO
2009,SES,13799,34888,Black,AUTO
2009,SES,13742,38380,Black,AUTO
2009,SES,13425,64055,Black,AUTO
2010,SE,13383,34503,Black,AUTO
2010,SE,12995,21325,Black,AUTO
2010,SE,12995,32743,Black,MANUAL
2010,SE,12780,35871,Black,AUTO
2008,SE,12777,49787,Black,MANUAL
2009,SE,11992,32559,Black,MANUAL
2009,SES,11984,59048,Black,AUTO
2008,SE,11754,38286,Black,AUTO
2010,SE,10717,64199,Black,AUTO
2007,SES,9999,78948,Black,MANUAL
2008,SE,8495,106171,Black,AUTO
2006,SES,7995,35000,Black,MANUAL
2004,SES,6950,119720,Black,AUTO
2011,SEL,19995,7351,Silver,AUTO
2010,SEL,17495,25125,Silver,AUTO
2010,SEL,16995,21026,Silver,AUTO
2011,SES,16995,32655,Silver,AUTO
2010,SES,16995,36116,Silver,AUTO
2011,SES,16992,9199,Silver,AUTO
2010,SEL,15999,19926,Silver,AUTO
2010,SES,15995,36049,Silver,AUTO
2011,SEL,15992,32069,Silver,AUTO
2010,SES,15988,16035,Silver,MANUAL
2011,SE,15899,36685,Silver,AUTO
2009,SEL,14999,33107,Silver,AUTO
2010,SE,14906,37905,Silver,AUTO
2009,SES,14549,34046,Silver,AUTO
2010,SES,14495,35894,Silver,AUTO
2010,SES,14000,24929,Silver,AUTO
2010,SE,13995,13541,Silver,AUTO
2009,SES,13995,53733,Silver,AUTO
2009,SES,13992,21108,Silver,AUTO
2009,SE,13991,36252,Silver,MANUAL
2009,SEL,13663,27528,Silver,AUTO
2009,SES,12990,45813,Silver,AUTO
2010,SE,12849,29517,Silver,AUTO
2008,SES,11495,82221,Silver,AUTO
2007,SE,10770,72937,Silver,MANUAL
2007,SES,9999,74427,Silver,AUTO
2006,SE,9995,51311,Silver,AUTO
2006,SE,8999,49656,Silver,AUTO
2007,SE,8996,48652,Silver,MANUAL
2008,SE,8494,68901,Silver,AUTO
2004,SE,6999,105714,Silver,AUTO
2006,SES,6200,95000,Silver,AUTO